height,proposal_tx0_bytes,num_txs,block_time
1,0,0,2026-08-04T13:09:30.934435Z
2,0,0,2026-08-04T13:09:33.150988Z
3,0,0,2026-08-04T13:09:34.17904Z
4,0,0,2026-08-04T13:09:35.209485Z
5,0,0,2026-08-04T13:09:36.240742Z
6,0,0,2026-08-04T13:09:37.271603Z
7,0,0,2026-08-04T13:09:38.304096Z
