height,block_time,num_txs,marker_present,extended_proposal_bytes,fsm_state,zk_proof_ref_present,other_tx_bytes,likely_recovery_proof_tx
70,2026-08-12T16:42:36.34107909Z,1,True,248,SOVEREIGN,False,0,False
71,2026-08-12T16:42:37.662585216Z,1,True,248,SOVEREIGN,False,0,False
72,2026-08-12T16:42:38.976778717Z,1,True,248,SOVEREIGN,False,0,False
73,2026-08-12T16:42:40.197490592Z,1,True,248,SOVEREIGN,False,0,False
74,2026-08-12T16:42:41.607319426Z,1,True,248,SOVEREIGN,False,0,False
75,2026-08-12T16:42:42.92065851Z,1,True,248,SOVEREIGN,False,0,False
76,2026-08-12T16:42:44.222875469Z,1,True,248,SOVEREIGN,False,0,False
77,2026-08-12T16:42:45.543146595Z,1,True,248,SOVEREIGN,False,0,False
78,2026-08-12T16:42:46.85753472Z,1,True,248,SOVEREIGN,False,0,False
79,2026-08-12T16:42:48.171890179Z,1,True,248,SOVEREIGN,False,0,False
80,2026-08-12T16:42:49.474579972Z,1,True,248,SOVEREIGN,False,0,False
81,2026-08-12T16:42:50.7107675Z,1,True,248,SOVEREIGN,False,0,False
82,2026-08-12T16:42:52.006022042Z,1,True,248,SOVEREIGN,False,0,False
83,2026-08-12T16:42:53.325542209Z,1,True,248,SOVEREIGN,False,0,False
84,2026-08-12T16:42:54.624352877Z,1,True,248,SOVEREIGN,False,0,False
85,2026-08-12T16:42:55.938772419Z,1,True,248,SOVEREIGN,False,0,False
86,2026-08-12T16:42:57.253755961Z,1,True,248,SOVEREIGN,False,0,False
87,2026-08-12T16:42:58.65733117Z,1,True,248,SOVEREIGN,False,0,False
88,2026-08-12T16:42:59.876541379Z,1,True,248,SOVEREIGN,False,0,False
89,2026-08-12T16:43:01.114773588Z,1,True,248,SOVEREIGN,False,0,False
90,2026-08-12T16:43:02.428385964Z,1,True,248,SOVEREIGN,False,0,False
91,2026-08-12T16:43:03.812729631Z,1,True,248,SOVEREIGN,False,0,False
92,2026-08-12T16:43:05.03567559Z,1,True,248,SOVEREIGN,False,0,False
93,2026-08-12T16:43:06.267838674Z,1,True,248,SOVEREIGN,False,0,False
94,2026-08-12T16:43:07.578376591Z,1,True,248,SOVEREIGN,False,0,False
95,2026-08-12T16:43:08.871229592Z,1,True,248,SOVEREIGN,False,0,False
96,2026-08-12T16:43:10.082777342Z,1,True,248,SOVEREIGN,False,0,False
